,Місяць,Хліб,Крупи,Мʼясо свійських тварин та птиці,Макарони,Картопля,Ковбасні вироби,"Молоко пастеризоване жирністю до 2,6% включно",Молочні продукти,Овочі,Олія соняшникова,Риба,Сир,Цукор,Яблука,Яйця,basket_price
0,2017-01-01,12.07,16.22,70.34,13.76,5.58,55.8,17.93,35.96,4.38,32.97,65.43,75.77,17.09,12.15,22.02,962.6
1,2017-02-01,12.48,16.39,72.36,13.89,6.11,56.44,18.58,37.18,4.53,33.3,65.93,77.69,17.61,12.43,18.33,983.47
2,2017-03-01,12.74,16.49,73.33,14.02,6.25,56.88,19.04,37.99,4.46,33.44,66.21,79.2,18.27,12.67,16.97,996.71
3,2017-04-01,12.85,16.41,75.25,14.12,6.71,57.7,19.26,38.18,5.63,33.74,66.61,79.34,18.48,13.63,13.9,1012.02
4,2017-05-01,12.95,16.14,77.62,14.2,8.36,58.02,19.35,38.34,9.12,33.74,67.21,78.85,18.54,17.46,12.06,1050.12
5,2017-06-01,13.07,16.01,81.34,14.14,11.12,59.7,19.29,38.25,12.62,33.75,66.32,78.86,18.58,22.91,14.09,1110.99
6,2017-07-01,13.17,15.87,86.22,14.17,8.99,62.38,19.4,38.52,11.83,33.64,66.05,78.77,18.45,23.44,12.85,1110.98
7,2017-08-01,13.35,15.92,89.14,14.14,7.44,64.07,19.61,38.96,7.79,33.67,65.34,80.1,18.5,18.8,15.12,1097.29
8,2017-09-01,13.54,16.02,92.36,14.26,6.76,67.81,19.95,39.66,6.76,33.69,64.73,81.63,18.43,16.42,19.78,1113.69
9,2017-10-01,13.82,16.07,92.73,14.3,6.19,72.02,20.7,40.89,5.97,33.64,65.15,84.45,17.43,16.0,22.72,1128.73
10,2017-11-01,14.13,16.26,91.43,14.31,5.95,74.38,21.27,42.16,5.56,33.97,65.56,87.17,16.4,16.43,25.24,1139.96
11,2017-12-01,14.42,16.37,91.79,14.43,6.0,75.65,21.77,43.18,5.7,34.18,65.93,89.86,15.78,16.76,27.0,1157.79
12,2018-01-01,14.69,16.48,93.43,14.91,6.43,77.38,22.01,43.54,6.24,34.18,66.49,89.66,15.62,17.47,27.95,1178.65
13,2018-02-01,14.92,16.48,92.99,15.04,6.89,77.74,21.95,43.84,6.9,34.43,67.59,90.93,15.47,18.17,27.5,1187.53
14,2018-03-01,15.15,16.43,94.03,15.11,7.58,78.47,22.13,44.35,8.89,34.48,68.51,91.49,15.31,19.68,27.29,1211.35
15,2018-04-01,15.35,16.33,96.78,15.27,7.83,78.41,22.03,44.47,10.39,34.58,68.99,91.07,15.15,21.23,26.65,1229.84
16,2018-05-01,15.42,16.18,96.07,15.36,7.54,78.04,22.13,44.53,11.3,34.39,69.58,89.86,14.83,21.86,24.17,1224.31
17,2018-06-01,15.48,16.24,95.83,15.37,8.73,77.3,22.02,44.26,14.46,34.44,69.76,88.82,14.67,21.17,21.8,1235.19
18,2018-07-01,15.64,16.54,96.13,15.5,7.95,77.96,21.9,44.1,12.93,34.41,70.32,88.43,14.92,19.11,20.11,1220.12
19,2018-08-01,15.76,16.74,97.6,15.55,7.56,78.16,21.99,44.16,9.48,34.48,70.31,88.79,14.9,14.07,21.3,1206.43
20,2018-09-01,16.24,17.22,101.45,16.1,6.86,79.93,22.36,44.88,8.58,34.59,70.67,90.31,14.83,11.24,24.27,1224.55
21,2018-10-01,16.71,17.62,101.97,16.59,6.52,82.32,22.85,45.76,9.36,34.83,71.45,92.75,14.49,10.19,24.93,1241.27
22,2018-11-01,17.26,17.82,101.29,16.93,6.76,83.96,23.39,46.83,9.82,34.98,72.9,95.24,14.24,9.43,24.81,1257.1
23,2018-12-01,17.51,17.93,101.47,17.34,7.99,84.76,23.73,47.79,12.14,35.0,73.35,97.75,14.09,9.21,24.56,1284.15
24,2019-01-01,17.84,18.17,102.34,17.61,9.33,85.19,23.87,48.66,13.71,35.12,74.4,98.81,14.02,9.47,24.77,1311.51
25,2019-02-01,18.05,18.61,100.94,17.82,10.09,85.52,24.13,48.99,14.5,35.07,75.58,99.67,14.13,9.43,23.9,1321.89
26,2019-03-01,18.22,19.01,100.54,18.0,10.16,85.35,24.18,49.23,14.94,34.98,76.67,100.15,14.16,9.48,22.7,1325.04
27,2019-04-01,18.39,19.86,102.16,18.19,10.73,85.55,24.32,49.68,19.13,34.95,77.26,100.86,14.08,9.49,20.2,1351.45
28,2019-05-01,18.68,20.21,103.9,18.25,14.07,84.4,24.25,49.72,22.81,34.93,77.77,99.96,14.25,11.12,17.0,1394.55
29,2019-06-01,19.14,20.4,103.96,18.27,17.26,84.34,24.15,49.56,17.19,34.99,78.24,99.4,15.17,14.91,12.47,1404.77
30,2019-07-01,19.29,20.33,104.99,18.31,15.3,84.6,24.23,49.62,12.21,34.9,78.72,99.71,15.6,16.92,14.35,1387.37
31,2019-08-01,19.27,20.23,105.93,18.24,15.02,85.1,24.43,49.58,9.2,34.96,79.01,99.61,15.3,17.32,19.89,1390.99
32,2019-09-01,19.24,20.41,106.33,18.29,14.63,85.46,24.73,50.58,8.09,34.97,79.47,101.5,15.21,16.97,18.7,1389.32
33,2019-10-01,19.28,20.81,106.12,18.29,15.29,85.69,25.14,51.17,7.78,34.84,79.32,103.17,14.85,16.5,20.45,1402.15
34,2019-11-01,19.46,20.62,104.11,18.14,14.14,86.4,25.22,51.6,7.32,34.72,78.83,104.7,14.49,16.26,20.93,1388.14
35,2019-12-01,19.52,20.15,103.28,18.31,13.52,87.56,25.31,52.31,6.98,34.44,78.32,105.7,14.3,16.34,21.07,1381.21
36,2020-01-01,19.58,19.65,102.87,18.09,13.13,87.38,24.91,51.94,6.88,34.35,77.99,106.86,14.02,16.62,20.66,1371.16
37,2020-02-01,19.63,19.53,100.59,18.15,12.8,88.14,24.99,51.93,6.88,34.31,78.2,107.26,14.14,16.79,17.07,1356.87
38,2020-03-01,19.7,20.0,100.24,18.45,12.89,87.93,25.0,52.29,7.42,34.29,78.38,107.38,14.55,17.3,14.98,1358.42
39,2020-04-01,19.79,21.2,100.84,18.84,14.75,87.5,25.01,52.54,9.69,34.4,79.1,107.41,15.25,19.25,16.34,1394.86
40,2020-05-01,19.85,21.54,98.04,18.99,15.27,87.34,25.09,52.34,9.53,34.14,79.96,107.62,15.14,25.68,19.06,1408.67
41,2020-06-01,19.97,21.48,98.75,19.18,16.06,87.34,24.95,52.56,10.16,34.31,80.19,106.72,14.94,34.71,19.1,1435.38
42,2020-07-01,20.03,21.33,99.16,19.26,12.67,86.64,24.91,52.61,8.78,34.31,80.21,106.3,14.79,38.06,16.22,1405.45
43,2020-08-01,20.02,21.18,100.42,19.11,10.02,86.38,24.83,52.63,7.23,34.62,80.1,106.31,14.71,28.96,16.79,1366.01
44,2020-09-01,20.22,21.02,100.9,19.08,9.08,87.42,25.0,52.83,6.34,35.1,80.73,106.45,14.94,22.31,17.99,1352.21
45,2020-10-01,20.51,20.92,101.71,19.18,8.96,88.92,25.19,53.12,5.86,37.53,80.31,108.25,18.3,19.46,22.19,1368.93
46,2020-11-01,20.98,21.2,101.89,19.6,9.23,90.82,25.39,53.76,5.36,40.11,80.97,110.26,19.7,18.17,23.71,1386.23
47,2020-12-01,21.24,21.55,102.09,20.17,10.15,91.43,25.6,54.14,5.32,42.07,80.97,111.46,20.9,18.21,27.48,1411.85
48,2021-01-01,21.89,21.87,104.01,20.79,11.14,93.22,25.41,54.3,5.82,44.04,81.96,113.92,21.89,19.08,32.31,1451.25
49,2021-02-01,22.45,22.46,106.7,21.22,11.87,94.4,25.83,55.32,6.74,47.55,83.05,114.18,23.13,19.76,32.26,1488.96
50,2021-03-01,23.16,23.34,110.2,22.88,12.17,94.99,25.96,55.97,7.17,52.58,83.07,115.73,24.38,20.39,32.02,1524.62
51,2021-04-01,23.4,23.77,111.82,23.25,11.92,95.5,25.99,56.53,7.11,58.05,82.36,116.95,25.63,20.66,31.8,1539.7
52,2021-05-01,23.62,23.87,113.78,23.11,11.96,96.96,26.44,57.24,9.93,62.57,83.34,116.52,25.75,20.94,26.24,1559.25
53,2021-06-01,23.66,23.8,114.22,23.15,13.3,96.78,26.42,57.48,12.91,64.95,84.27,116.61,25.92,21.14,22.09,1576.97
54,2021-07-01,23.77,23.83,115.54,23.19,11.79,98.1,26.5,58.19,12.9,64.73,84.06,117.04,27.63,21.42,22.13,1576.45
55,2021-08-01,23.9,23.73,117.11,23.19,8.66,97.94,26.62,58.89,9.2,64.33,84.87,117.22,28.7,20.13,26.29,1554.74
56,2021-09-01,24.33,23.89,120.75,23.15,8.32,99.77,27.2,59.98,8.25,63.71,85.78,119.18,28.69,17.67,29.98,1578.05
57,2021-10-01,24.98,24.23,122.5,23.3,8.69,102.9,27.63,61.04,8.8,62.69,86.25,120.22,27.8,14.84,30.3,1597.46
58,2021-11-01,25.61,25.16,122.91,23.89,8.61,106.26,27.96,62.18,9.67,62.32,87.49,124.25,28.2,13.09,30.63,1619.27
59,2021-12-01,26.18,25.78,123.63,24.36,8.76,109.78,28.55,62.35,11.76,61.43,87.86,125.98,27.52,12.31,33.79,1650.49
60,2022-01-01,27.14,26.18,128.93,24.95,9.29,114.57,28.93,63.64,15.02,61.05,103.7,133.6,27.11,12.78,35.46,1727.4
61,2022-02-01,28.2,26.87,132.32,25.16,9.54,116.4,29.37,65.56,17.04,61.61,105.83,139.55,26.99,12.87,33.44,1770.88
62,2022-03-01,29.23,29.44,138.97,26.85,11.7,123.62,30.53,68.58,21.18,65.49,114.47,144.6,28.9,14.28,34.26,1884.56
63,2022-04-01,29.56,34.33,137.64,30.13,10.23,125.54,31.46,70.57,20.67,67.37,123.17,147.35,29.04,14.14,24.8,1892.63
64,2022-05-01,30.02,37.85,136.66,31.05,9.64,125.74,31.92,71.6,24.44,67.78,128.74,147.48,28.53,13.88,19.39,1911.53
65,2022-06-01,30.75,41.36,139.34,32.34,12.24,129.56,32.29,72.48,31.3,69.23,130.6,146.76,31.89,14.49,22.72,2002.87
66,2022-07-01,31.18,44.05,139.85,32.55,18.93,131.22,32.61,72.6,32.06,69.87,133.09,147.15,32.17,15.09,24.7,2084.21
67,2022-08-01,31.32,44.8,142.96,32.35,13.56,137.32,32.4,73.6,27.5,69.82,139.09,147.4,34.17,17.11,28.53,2064.73
68,2022-09-01,31.45,43.73,146.32,32.5,10.84,148.09,32.9,74.76,21.13,69.85,144.14,148.12,35.56,18.32,35.08,2069.04
69,2022-10-01,31.94,42.22,149.92,32.36,9.91,159.58,33.27,76.22,20.96,69.95,150.0,151.76,36.08,16.49,57.01,2134.06
70,2022-11-01,32.1,41.21,145.93,31.79,9.13,162.16,33.86,77.97,19.69,69.23,150.53,155.24,35.2,14.79,63.33,2127.51
71,2022-12-01,32.69,40.09,147.4,31.86,9.2,163.88,34.28,80.54,19.55,69.75,155.11,159.34,35.29,15.13,62.03,2148.64
72,2023-01-01,33.05,38.81,148.71,31.76,9.4,164.45,35.24,81.57,20.37,70.29,156.31,162.98,35.27,15.7,63.12,2175.85
73,2023-02-01,33.35,38.14,149.16,31.82,9.57,163.77,35.42,81.66,24.1,69.98,158.87,163.82,35.31,16.48,61.95,2195.24
74,2023-03-01,33.44,37.43,151.57,31.98,9.55,163.32,35.9,82.26,31.21,69.42,158.69,165.04,35.52,18.47,63.11,2237.31
75,2023-04-01,33.62,36.99,157.01,31.96,9.49,163.49,35.69,82.58,32.55,68.46,160.29,164.73,35.4,21.91,57.78,2255.65
76,2023-05-01,33.72,36.02,160.0,31.53,9.89,163.51,35.66,82.93,39.54,67.38,160.97,166.28,35.27,29.79,44.5,2282.31
77,2023-06-01,33.71,34.95,163.43,31.12,12.04,163.01,35.78,83.18,42.66,65.77,160.87,165.07,35.31,35.79,42.39,2323.86
78,2023-07-01,33.8,34.04,166.27,30.76,20.25,163.04,36.1,83.14,34.82,65.13,161.97,165.34,35.71,37.06,38.99,2370.81
79,2023-08-01,33.96,33.69,169.14,30.89,12.87,166.25,36.33,83.1,15.32,64.78,162.06,164.81,36.45,31.03,39.02,2253.29
80,2023-09-01,34.11,32.68,171.23,30.41,10.95,167.96,36.23,83.36,10.81,63.8,161.19,165.38,36.89,21.98,44.18,2221.02
81,2023-10-01,34.36,31.42,171.94,30.26,10.16,169.06,36.63,85.46,10.07,61.84,161.59,168.54,36.07,20.07,48.75,2224.58
82,2023-11-01,34.62,30.1,171.26,29.8,11.9,171.32,37.09,87.72,10.28,60.43,160.63,174.8,34.53,19.32,49.37,2244.26
83,2023-12-01,34.8,29.12,172.06,29.79,15.13,172.52,37.69,89.18,12.3,59.18,160.63,176.76,33.29,20.49,56.18,2298.98
84,2024-01-01,35.06,28.47,171.52,29.89,21.46,171.84,38.15,91.0,15.44,58.89,163.87,181.13,32.23,22.05,51.02,2361.4
85,2024-02-01,35.22,28.34,171.58,29.95,22.75,171.54,38.7,92.58,15.76,58.33,164.43,185.9,31.43,23.18,49.6,2383.29
86,2024-03-01,35.52,28.16,172.16,29.96,22.73,168.54,38.98,93.4,15.11,57.27,165.43,185.06,30.66,23.83,41.54,2370.16
87,2024-04-01,35.76,27.89,172.63,29.94,22.45,168.4,39.41,94.84,14.78,57.84,168.5,186.29,29.92,24.59,33.45,2364.88
88,2024-05-01,36.02,28.03,174.17,29.84,24.53,168.17,38.65,95.0,21.1,57.98,170.7,185.93,30.07,25.56,28.55,2396.91
89,2024-06-01,36.45,28.55,172.64,29.8,28.39,166.48,38.73,95.38,24.58,58.76,173.93,187.58,31.04,26.9,32.97,2455.12
90,2024-07-01,37.61,29.24,173.22,30.16,20.08,165.48,39.01,95.82,17.56,60.45,174.13,188.06,34.78,27.83,29.28,2386.19
91,2024-08-01,38.6,29.47,175.55,31.35,19.73,167.26,39.4,97.24,19.12,61.52,173.96,189.01,35.66,28.33,31.44,2420.19
92,2024-09-01,39.18,29.89,178.94,32.6,20.67,166.98,40.13,100.74,18.62,62.97,175.55,193.94,35.09,26.47,35.27,2463.23
93,2024-10-01,39.91,30.72,181.48,32.88,25.85,171.06,41.62,105.56,20.99,65.02,178.69,201.24,33.55,30.31,41.78,2578.98
94,2024-11-01,40.75,31.71,182.8,33.33,29.79,170.8,43.71,110.9,23.09,68.6,180.59,209.35,33.12,33.92,65.05,2716.31
95,2024-12-01,41.83,32.58,184.61,33.77,29.74,173.42,45.64,116.54,24.84,72.73,184.57,217.36,33.16,35.22,64.24,2780.93
